,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
564,Eloy Abreu Morales,M,20,160,54
565,Glauclio Serro Abreu,M,26,185,75
566,Jos Filipe Abreu,M,20,159,64
567,Emilio Julio Abreu,M,22,NA,NA
568,Morais Santos Abreu,M,40,188,73
569,Paulo Francisco Joazeiro de Abreu,M,18,176,78
570,Pedro Abreu Pascal,M,23,200,88
571,Rubn Abreu Rivero,M,24,177,71
572,Rui Pinto de Abreu,M,15,177,64
573,Franck Abrial,M,24,174,68
574,rika Abril Surez,F,34,164,52
575,Laura Valentina Abril Restrepo,F,22,162,50
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93
577,Knut Richard brink,M,23,NA,NA
578,Bourhan Abro,M,21,180,70
579,Anastasiya Aleksandrovna Abrosimova,F,26,164,51
580,Svetlana Olegovna Abrosimova,F,20,188,77
581,Elisabeta Abrudeanu,F,26,NA,NA
582,Saypulla Atavovich Absaidov,M,22,168,68
583,Julien Absalon,M,23,180,68
584,Ayele Abshero Biza,M,21,168,62
585,Brian Kenneth Abshire,M,24,180,59
586,Tobias Abstreiter,M,31,178,85
587,Gudrun Maria Abt,F,26,178,61
588,"Aleksandr Viktorovich ""Sasha"" Abt",M,25,179,68
589,Najmeh Abtin,F,25,160,57
590,Mohamed Abu Abdullah,M,27,173,74
591,Abdul Wahab Abu Al-Hail Labid,M,27,180,79
592,Mohamed Ahmed Abu Ali,M,19,NA,NA
593,Methkal Marouf Abu Drais,M,28,168,67
594,Lailin Abu Hassan,M,22,NA,NA
595,Majed Abu Maraheel,M,33,180,76
596,Maher Abu Rmilah,M,28,172,72
597,Mohamed Ahmed Abu Sobea,M,NA,NA,NA
598,Omar Abu-Fares,M,16,178,69
599,Bektas Abubakirov,M,23,165,54
600,Nagmeldin Ali Abubakr,M,18,172,63
601,Sanna Abubkheet,F,19,157,52
602,Abudoureheman,M,22,182,75
603,Juma Abudu,M,24,170,59
604,"Folashade ""Shade"" Abugan",F,17,150,64
605,Fernando J. Abugattas Aboino,M,20,190,80
606,Roberto Abugattas Aboino,M,21,182,77
607,Hamza Abughalia,M,23,NA,85
608,Ahmad Abughaush,M,20,178,68
609,Fartun Abukar Omar,F,18,170,58
610,Ginko Abukawa-Chiba,F,22,148,46
611,Mohammed Abukhousa,M,23,170,67
612,Mohammad Abulibdeh,M,28,183,68
613,Kariman Abuljadayel,F,22,180,70
614,Jos Manuel Abundis Sandoval,M,23,177,72
615,Abdullah Abuqrais,M,25,163,65
616,Shigeru Aburaya,M,27,163,51
617,Cristobal Alejandro Aburto Tinoco,M,28,161,60
618,Aleksandr Veniaminovich Abushakhmetov,M,21,189,81
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62
620,Kanat Kalizhanovich Abutalipov,M,25,168,56
621,Anas Sameer N. H. Abuyousuf,M,14,181,77
622,Ali Abuzamia,M,19,185,80
623,Irina Alekseyevna Abysova,F,27,175,56
624,Srr Acar,M,NA,170,78
625,E. Doan Acarbay,M,21,NA,NA
626,Alain Acart,M,21,175,67
627,Andreea Roxana Acatrinei,F,16,150,40
628,Jacques Accambray,M,22,194,125
629,William Accambray,M,24,194,104
630,Anna Accensi Abella,F,26,NA,NA
631,Ezio Acchini,M,26,NA,NA
632,Mario Acchini,M,33,NA,NA
633,Martina Accola,F,24,170,62
634,Paul Accola,M,20,176,82
635,Alfredo Accorsi,M,27,NA,NA
636,Enrique Accorsi Teuthorn,M,31,NA,NA
637,Eusebio Acea Colarte,M,31,190,95
638,Raidel Acea Morales,M,21,NA,NA
639,Domingo Gmez-Acedo Villanueva,M,21,NA,NA
640,Carmen Acedo Jorge,F,17,NA,NA
641,Jos Aceituno,M,23,167,58
642,Ervin S. Acel,M,39,NA,NA
643,Marco Acerbi,M,23,190,74
644,Claudia Acerenza Marez,F,22,160,55
645,Elmer ngel Acevedo,M,19,NA,NA
646,Anibl Santiago Acevedo,M,21,176,67
647,Eyne Acevedo Tabares,M,22,NA,67
648,Fabio Acevedo,M,22,171,70
649,Fernando Acevedo Portugues,M,22,175,65
650,Javier Carlos Acevedo,M,18,182,68
651,Jos Eduardo Acevedo Herrera,M,22,179,65
652,Nicole Jocelin Acevedo Tangarife,F,21,166,70
653,Sharon Evelin Acevedo Tangarife,F,23,170,61
654,Daniel Aceves Villagrn,M,19,158,52
655,Roberto Aceves Villagrn,M,22,165,64
656,David Laurence Acfield,M,21,178,73
657,Mohamed Ali Acha-Cheloi,M,25,165,68
658,Jaouad Achab,M,23,175,64
659,Mustapha Achab,M,22,NA,NA
660,Karem Faride Achach Ramrez,F,25,169,60
661,Emilio Achacoso,M,28,178,78
662,Loreto Achaerandio Snchez-Marn,F,20,164,50
663,Sharath Kamal Achanta,M,22,186,85
664,Kieron Robert Achara,M,29,208,110
665,Gilbert Achard-Picard,M,29,NA,NA
666,Aziz Acharki,M,28,180,68
667,"Benjamin ""Ben"" Acheampong",M,25,161,62
668,Gemma Acheampong,F,23,163,54
669,Joachim Yaw Acheampong,M,18,181,73
670,Alfred Achermann,M,24,176,75
671,Ghassan Achi,M,16,168,60
672,Wilson Achia,M,25,167,52
673,Abdel Hak Achik,M,29,165,54
674,Mohamed Abdelhak Achik,M,23,174,57
675,"Onochie Lawrence ""Larry"" Achike",M,25,188,75
676,Gaston Achille,M,NA,NA,NA
677,Georges Achille-Fould,F,55,NA,NA
678,"Jacob Hendrik ""Jack"" Achilles",M,41,182,98
679,Ioan Valeriu Achiriloaie,M,23,183,87
680,Rita Nikolayevna Achkina,F,25,168,63
681,Janet Achola,F,24,167,52
682,Julius Achon,M,19,168,55
683,Natalie Chioma Achonwa,F,19,190,86
684,Ahmed Mohamed Achouche,M,28,191,110
685,Dallal Merwa Achour,F,17,176,45
686,Khaled Achour,M,20,177,82
687,Haykel Al-Achouri,M,23,184,84
688,Said Achtar,M,23,NA,NA
689,Roger Achten,M,28,171,62
690,Chantal Achterberg,F,27,172,72
691,Assumpta Achuo-Bei,F,20,159,55
692,"James Dudley ""Jim"" Achurch",M,28,NA,NA
693,Gabriel Achy Assi,M,25,166,61
694,Oliver M. Acii,F,18,167,55
695,Ricardo Augusto Amaral Acioly,M,24,179,78
696,Charles Acke,M,NA,NA,NA
697,Fausto Alesio Acke (Padovini-),M,22,NA,NA
698,Paul Douglas Ackerley,M,27,179,68
699,"Charles Edwin ""Charley"" Ackerly",M,22,NA,NA
700,"Nathaniel Leedom ""Nate"" Ackerman",M,26,173,74
701,Georg Ackermann,M,24,191,75
702,Ronny Ackermann,M,20,184,69
703,"Marianne ""Marjan"" Ackermans-Thomas",F,26,180,70
704,Dsir Antoine Acket,M,27,NA,NA
705,Donat Acklin,M,22,190,99
706,Guido Acklin,M,24,200,104
707,Urban Acman,M,24,180,83
708,Alberto Enrique Acosta Palma,M,19,NA,NA
709,Asuncin Acosta Galano,F,18,169,52
710,Bryan Josu Acosta Ramos,M,22,175,74
711,Carlos Acosta,M,28,NA,NA
712,Hctor H. Acosta,M,26,180,81
713,Jos Eugenio Acosta,M,26,173,73
714,Juan Acosta Umazabal,M,29,NA,NA
715,Julio Csar Acosta Gonzlez,M,29,160,62
716,Lautaro Germn Acosta,M,20,168,72
717,Leopoldo Acosta,M,22,185,61
718,Luis Angel Acosta,M,20,180,73
719,Luz Mercedes Acosta Valdez,F,27,164,63
720,Marcelo Alberto Acosta Jimnez,M,20,NA,NA
721,Mara Jos Acosta Acosta,F,24,172,69
722,Mariano Acosta,M,22,NA,NA
723,Osmay Acosta Duarte,M,23,188,91
724,Pedro Javier Acosta Snchez,M,20,188,78
725,Roslandy del Valle Acosta Alvarado,F,16,190,62
726,Tanya Acosta,F,25,182,70
727,Martn Ral Acosta y Lara Daz,M,23,NA,NA
728,George Wilson Acquaah,M,26,NA,NA
729,Robert Acquafresca,M,20,184,70
730,Edward Acquah,M,29,188,82
731,Oliver Acquah,M,22,177,82
732,"Samuel ""Sam"" Acquah",M,21,178,72
733,Ilona cs (-Zimmermann),F,16,NA,NA
734,Otto Mnsted Acthon,M,30,NA,NA
735,"Benjamin Maxwell ""Ben"" Acton",M,32,NA,NA
736,Brigitte Acton (-Smith),F,20,168,63
737,"Amelia Lynn ""Amy"" Acuff (-Harvey)",F,21,188,66
738,Crox Ernesto Acua Rodrguez,M,18,192,89
739,Jorge Acua,M,24,173,50
740,"ngel ""Mudo"" Acua Lizana",M,29,NA,NA
741,Ricardo Acua,M,25,NA,NA
742,Roberto Acua,M,25,208,109
743,Arslanbek Aylow,M,23,177,75
744,Jzsef Aczl (-Eisenhoffer),M,23,NA,NA
745,Kazimierz Piotr Adach,M,23,162,60
746,Goro Adachi,M,19,156,56
747,Kiyoshi Adachi,M,22,179,60
748,Mariko Adachi,F,29,162,51
749,Miho Adachi,F,25,165,58
750,Seiya Adachi,M,21,172,67
751,Takumi Adachi,M,26,168,67
752,Yumi Adachi,F,23,160,NA
753,Yurie Adachi,F,28,156,51
754,Craig Robert Adair,M,21,187,81
755,Ali Enver Adakan,M,23,186,100
756,Adalberto Pereira da Silva,M,25,189,105
757,Adam,M,NA,NA,NA
758,Adam,M,NA,NA,NA
759,Ahmed Adam,M,20,162,60
760,Constantin Adam,M,20,202,105
761,Gal Adam,M,22,190,80
762,"Gordon Belgum ""Gordy"" Adam",M,21,NA,NA
763,Herman Adam Negrete,M,23,180,71
764,Idrissa Adam,M,27,178,79
765,Jean-Paul Adam,M,15,NA,NA
766,Ji Adam,M,25,187,83
767,"Johannes ""Johann"" Adam",M,NA,NA,NA
768,Joseph Adam,M,27,172,70
769,Leonie Adam,F,23,162,54
770,Marcus Adam,M,24,182,82
771,Marianne Adam,F,20,183,85
772,"Michael B. ""Mike"" Adam",M,24,175,95
773,Moustafa Adam,M,19,173,71
774,"Nicolas Dominique ""Nic"" Adam",M,30,NA,NA
775,Otto Adam,M,26,NA,NA
776,Paul Adam,M,49,NA,NA
777,Pierre Louis Eugne Adam,M,24,NA,NA
778,Sndor dm,M,20,NA,NA
779,Shuaib Adam,M,30,175,80
780,Tony Adam,M,18,169,61
781,Ahmed Adam Salah,M,30,154,64
782,Samba Adama,M,32,175,82
783,Stefan Adamczak,M,31,175,73
784,Matthias Adamczewski,M,30,187,77
785,Dariusz Adamczuk,M,22,179,78
786,Adam Eucharyst Adamczyk,M,21,173,80
787,Edward Adamczyk,M,26,190,83
788,Lubo Adamec,M,29,184,77
789,Petr Adamec,M,20,187,87
790,Mara Teresa Adames,F,18,160,52
791,Luigi Adami,M,47,NA,NA
792,Jina Adamikov-Pelcov,F,22,173,62
793,Panagiotis Adamidis,M,18,NA,NA
794,Janusz Andrzej Adamiec,M,21,176,74
795,Tomasz Adamiec,M,26,171,69.5
796,"Sabine Heidrun Adamik (Picken-, -Bothe)",F,32,172,68
797,Zoltn Adamik,M,23,175,71
798,Pirouz Adamiyat,M,23,190,80
799,Nafissatou Moussa Adamou,F,14,172,72
800,Georgi Mirchev Adamov,M,25,173,64
801,Tatyana Pavlovna Adamovich,F,29,163,54
802,Tadeusz Ralf Adamowski,M,26,177,70
803,Anne Wilma Adams (-King),F,16,165,54
804,Antoine Xavier Adams,M,23,180,79
805,April Jane Adams,F,19,NA,NA
806,"Bartlett S. ""Bart"" Adams",M,38,NA,NA
807,"Benjamin Willard ""Ben"" Adams",M,22,188,78
808,"Robert ""Bob"" Adams",M,27,NA,NA
809,Brian Adams,M,27,183,67
810,Bridget Shirley Adams (-Bengough),F,19,NA,NA
811,Natalie Cammile Adams (-Brannan),F,20,173,65
812,David Dixie Adams,M,30,188,79
813,Edgar Holmes Adams,M,36,NA,NA
814,Edward Adams,M,NA,NA,NA
815,"Francis ""Frank"" Adams",M,22,169,68
816,"Frederick Thomas ""Fred"" Adams",M,NA,NA,NA
817,"Gerard ""Gerry"" Adams",M,38,177,70
818,Harry Lester Adams,M,31,NA,NA
819,John E. Adams,M,24,178,95
820,"Judith C. ""Judi"" Adams",F,37,NA,NA
821,Keith Adams,M,22,167,75
822,Lennox Adams,M,20,NA,NA
823,Liam Adams,M,29,178,64
824,Luke Kendall Adams,M,27,189,70
825,Lynda Riley Adams (-Hunt),F,16,NA,NA
826,Lyukman Rasakovich Adams,M,23,194,87
827,Mareike Adams,F,26,174,73
828,Maureen Adams,F,38,169,68
829,"Morgan Orlando Adams, Jr.",M,20,NA,NA
830,Adrian Neil Adams,M,21,178,78
831,Nelson Luis Adams,M,21,NA,81
832,Nicola Virginia Adams,F,29,164,51
833,Odalys Adams Castillo,F,25,171,59
834,Paul Adams,M,24,185,98
835,"Phillip Maxwell ""Phil"" Adams",M,39,163,93
836,Platt Adams,M,23,188,78
837,Rachael Alexis Adams,F,26,188,81
838,Ralph Andrew Adams,M,20,170,56
839,Robert P. Adams,M,17,188,85
840,"Victoria ""Vicki"" Adams",F,24,164,69
841,Walter Adams,M,23,172,67
842,Wayman Elbridge Adams,M,48,NA,NA
843,William T. Adams,M,NA,NA,NA
844,"William Edward ""Willie"" Adams",M,19,198,93
845,"Birgitta Ann-Agnes ""Bride"" Adams-Ray",F,21,NA,NA
846,Valerie Kasanita Adams-Vili (-Price),F,19,193,120
847,Morten Gundro Adamsen,M,22,181,84
848,Antoni Adamski,M,20,179,74
849,Filip Kamil Adamski,M,25,189,87
850,Herbert Adamski,M,26,NA,NA
851,Jerzy Adamski,M,23,171,58
852,Tadeusz Adamski,M,29,NA,NA
853,Per Anders Adamson,M,22,177,68
854,Derrick Adamson,M,26,177,72
855,"James Nicholas ""Nick"" Adamson",M,27,183,74
856,Per Owe Adamson,M,25,171,65
857,Gsta Napoleon Adamsson,M,27,NA,NA
858,Charles Adamu,M,23,170,81
859,Mamudu Adamu,M,27,NA,NA
860,Dariusz Adamus,M,23,185,94
861,Jos Carlos Adn Arias,M,25,166,57
862,Nenita Adan,F,23,160,49
863,Aboukar Hassan Adani,M,20,165,59
864,Yasemin Adar,F,24,180,75
865,Juan Bautista Adarraga Elizarn,M,24,183,NA
866,Orhan Ada,M,20,NA,NA
867,"Christopher Thomas ""Chris"" Adcock",M,23,183,80
868,"Frances ""Fran"" Adcock",F,20,178,72
869,"  Gabrielle Marie ""Gabby"" Adcock (White-)",F,25,167,NA
870,"William Arthur ""Bill"" Adcocks",M,26,168,55
871,Berkane Lakhdar Adda,M,21,178,78
872,Elie Adda,M,NA,NA,NA
873,Mehdi Addadi,M,28,179,70
874,"Edith Addams de Habbelinck (-Lutjens, -Taylor, -Bel Geddes)",F,20,NA,NA
875,Jenny Marie Beatrice Addams,F,19,NA,NA
876,Jean Renaud Adde,M,37,181,70
877,Yannick Adde,M,22,195,115
878,Hamida Addche,M,28,164,56
879,Corran Descy Addison,M,23,170,65
880,Roy Addison,M,21,177,75
881,"Joseph ""Joe"" Addo",M,24,182,81
882,Simon Addo,M,17,180,79
883,Charles Addo-Odametey,M,27,170,67
884,Eugene Addor,M,NA,NA,NA
885,"Robert Charles ""Bob"" Addy",M,23,191,76
886,Ebenezer Charles O. Addy,M,23,178,70
887,James Aryee Addy,M,20,183,75
888,Jangy McKinley Addy,M,23,188,88
889,Mercy Addy,F,20,161,58
890,Winifred Addy,M,23,NA,NA
891,William Harold Ade,M,20,NA,NA
892,Peter Adeberg,M,19,185,75
893,Ulrike Adeberg (-Spielmann),F,23,170,60
894,James Adede,M,29,162,92
895,Adegboyega Folaranmi Adedoyin,M,25,NA,NA
896,Olubayo Adefemi,M,22,181,82
897,Lawrence Adegbeingbe,M,27,181,66
898,"Stephen Adebisi Gbadegesin ""Steve"" Adegbite",M,24,186,77
899,Adewale Adegbusi,M,30,NA,67
900,Oluwakemi 'Kemi' Adekoya,F,23,166,63
901,Amos Ojo Adekunle,M,26,140,48
902,Odunayo Folasade Adekuoroye,F,22,169,53
903,Carolyn Adel,F,17,163,52
904,Gun Margareta del (-Nilsson),F,25,163,52
905,Alberto Adela,M,NA,NA,NA
906,Peter Adelaar,M,33,213,135
907,Irfan Adelbi,M,38,185,90
908,"Ayodele ""Dele"" Adeleye",M,19,190,80
909,Andr Adelheim,M,22,177,70
910,"Hugh Jean ""Danny"" Adeline",M,28,NA,NA
911,Antoine Adelisse,M,17,178,65
912,Beatrice Adelizzi,F,19,175,67
913,Marcel Louis Ernest Alfred Charles Albert Adelon,M,38,NA,NA
914,Lambert Adelot,M,29,NA,NA
915,Abrar Osman Adem,M,18,168,58
916,Biko Adema,M,28,177,85
917,Joost Adema,M,24,202,91
918,Ademir Roque Kaefer,M,24,179,74
919,Hoche Yaya Aden,M,21,180,47
920,Ibrahim Mohamed Aden Gedi,M,23,178,75
921,Jama Awil Aden,M,23,176,69
922,Jama Mohamed Aden,M,21,180,68
923,Olapade Charles Adeniken,M,19,186,78
924,Aminat Oluwafunmilayo Adeniyi,F,23,165,58
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65
926,Esau Adenji,M,24,177,70
927,Margaret Adetutu Adeoye,F,27,162,65
928,Alfred Ader,M,31,166,60
929,Berhane Adere Debala,F,22,170,50
930,Hanns Aderhold,M,33,NA,NA
931,Nyakisi Adero,F,30,NA,NA
932,Ademola Adeshina,M,24,NA,NA
933,Adsio Alves Machado,M,19,NA,NA
934,Adeoye Adetunji,M,22,174,71
935,Adevaldo Virglio Netto,M,21,NA,NA
936,Isiaq Adeyanju,M,24,162,65
937,Fatai Adeyemo,M,NA,NA,NA
938,Cary Glen Adgate,M,22,173,74
939,Kamal Bahadur Adhikari,M,31,163,69
940,David Adiele,M,25,174,NA
941,Paul Adiga,M,20,176,74
942,Moriam Seun Adigun,F,25,153,52
943,Arman Adikyan,M,23,168,66
944,Haydy Morsy Adil,F,16,168,58
945,Mirza Adil,M,17,177,73
946,Adel Mohamed Adili,M,21,176,65
947,Adilson de Freitas Nascimento,M,20,195,88
948,Hammed Adio,M,21,185,63
949,Antonio R. Adipe Marrone,M,24,NA,NA
950,Ilana Adir (-Kamarshik),F,19,165,58
951,Evelyn Adiru,F,22,162,50
952,Badathala Adisekhar,M,28,NA,53
953,Franck Adisson,M,23,180,70
954,Adiyasambuu Tsolmon,F,23,165,65
955,Jikirum Adjaluddin,M,21,NA,NA
956,"Richard ""Richy""  Adjei",M,27,190,110
957,Sammi Adjei,M,18,NA,NA
958,Denos Adjima Beche,M,NA,168,56
959,Christian Donfack Adjoufack,M,28,175,80
960,Amanda Jo Adkins (-Schneider),F,23,173,61
961,"Bradley Don ""Brad"" Adkins",M,22,188,80
962,"Charles ""Chuck"" Adkins",M,20,NA,NA
963,Derrick Ralph Adkins,M,26,188,80
964,"Robert Edward ""Bob"" Adlard",M,32,NA,NA
965,Alan Adler,M,20,186,80
966,Daniel Adler,M,26,180,72
967,Egon Adler,M,23,172,62
968,"Margarete ""Grete"" Adler",F,16,NA,NA
969,Harry Herchel Adler,M,36,NA,NA
970,Lena Kristina Adler,F,18,162,56
971,Uwe Adler,M,20,182,77
972,Herman Aleksandrovich Adlerberg,M,21,NA,NA
973,Gregor Nils Henric Adlercreutz,M,37,NA,NA
974,Nils August Domingo Adlercreutz,M,45,NA,NA
975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,39,NA,NA
976,Jonna Eva-Maj Adlerteg,F,17,153,38
977,Erik William Adlerz,M,15,NA,NA
978,Mrta Elvira Adlerz (-Hermansson),F,15,NA,NA
979,Hans Adlhoch,M,41,177,70
980,"Rebecca ""Becky"" Adlington",F,19,179,70
981,Katrin Adlkofer,F,22,177,62
982,Hamdi Adly El-Seoudi Ibrahim,M,23,194,82
983,Sad Admane,M,NA,174,62
984,Jane Admans,F,21,165,53
985,Megra Admassou,M,25,177,65
986,Adriana Johanna Jacoba Admiraal-Meijerink,F,30,NA,NA
987,Khadour Adnan,M,25,173,81
988,Mustapha Adnane,M,NA,168,77.5
989,Gadi Ado,M,20,173,61
990,Adogon,M,NA,NA,NA
991,Christopher Silas Adolf,M,24,168,59
992,Josef Adolf,M,25,NA,NA
993,Ruth Adolf,F,20,165,56
994,Ricardo Adolfo,M,NA,NA,NA
995,Jan Erik Adolfsen,M,21,NA,NA
996,Karl Tage Herbert Adolfsson,M,21,182,72
997,Lars Olof Melker Adolfsson,M,22,183,81
998,ke Ronnie Adolfsson,M,23,180,77
999,Sune Roland Adolfsson,M,25,180,74
1000,Dainius Adomaitis,M,26,202,100
1001,Svajnas Adomaitis,M,19,175,55
1002,Daniel Adomako,M,20,170,69
1003,Lena Annika Adomat,F,16,162,56
1004,Aurimas Adomaviius,M,22,204,100
1005,Neil Isaac Adonis,M,31,182,93
1006,Ador,M,NA,NA,NA
1007,Istvn Adorjn,M,22,NA,NA
1008,Jnos Adorjn,M,34,192,83
1009,William Adornado,M,21,187,77
1010,Jean-Luc Adorno,M,23,180,64
1011,Omar Adorno,M,23,160,51
1012,Rubn Adorno Melndez,M,23,190,91
1013,Barthelmy Adoukonu,M,22,160,55
1014,Martin Natchaba Adouna,M,28,167,68
1015,Conrad Adriaenssens,M,49,NA,NA
1016,J. Adriaenssens,M,NA,NA,NA
1017,Nathan Ghar-Jun Adrian,M,19,198,100
1018,Vera Adrian,F,22,168,57
1019,Selvyana Adrian-Sofyan,F,33,151,52
1020,Adriana Aparecida dos Santos,F,21,180,61
1021,"Eduardo ""Bto"" Adriana",M,35,176,120
1022,Sharnol Leonard Adriana,M,29,185,95
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65
1024,Elisngela Maria Adriano,F,23,180,96
1025,Attila Adrovicz,M,30,189,87
1026,Carlos Adsera Puig,M,21,173,72
1027,Mark J. Adshead,M,25,173,65
1028,"Fredua Koranteng ""Freddy"" Adu",M,19,170,66
1029,Carlos Adueza Troll,M,20,NA,NA
1030,Martha Adusei,F,24,165,64
1031,Aduuchiin Baatarkh,M,24,185,82
1032,Serhiy Mykolaiovych Advena,M,20,190,82
1033,Adyaagiin Jgdernamjil,M,27,154,52
1034,Viktoriya Adyeva,F,20,160,55
1035,Erkin Adylbek uulu,M,25,190,80
1036,Olga Olegovna Adzhigerskaya,F,26,192,65
1037,Rustam Iwanovych Adzhy,M,23,175,69
1038,orbergur Aalsteinsson,M,28,190,90
1039,Silulu A'etonu (-Grey),F,24,170,59
1040,Urs Aeberhard,M,30,180,98
1041,Max Aeberli,M,NA,NA,NA
1042,Adolf Aebersold,M,27,NA,NA
1043,Regula Aebi (-Anliker),F,22,170,58
1044,David Aebischer,M,24,186,85
1045,Christian Aebli,M,27,180,95
1046,Klaus Aeffke,M,24,189,82
1047,"Carl Bror Emil ""Kalle"" Aejemelaeus (-im)",M,29,169,NA
1048,Eduard Aellig,M,24,181,93
1049,Lon Joseph Aelter (-Freddy),M,22,NA,NA
1050,Hansjrg Aemisegger,M,24,175,75
1051,"Mechelina Agnes Elisabeth ""Lies"" Aengenendt",F,20,NA,NA
1052,Jasper Aerents,M,19,191,86
1053,Luca Aerni,M,20,177,80
1054,Jean Aerts,M,20,NA,NA
1055,Katrien Aerts,F,37,162,51
1056,Mario Aerts,M,33,182,68
1057,Sara Aerts,F,28,182,64
1058,Andreas Aeschbach,M,22,178,67
1059,Marianne Aeschbacher,F,21,166,50
1060,Marita Aeschbacher,F,31,173,64
1061,Frdric Charles Aeschlimann,M,27,NA,NA
1062,Jean-Jacques Aeschlimann,M,34,186,86
1063,Peter Aeschlimann,M,25,186,86
1064,Albert Aeschmann,M,23,NA,74
1065,Oscar Adolf Richard af Strm,M,44,NA,NA
1066,Paulus Reinhold af Uhr,M,20,NA,NA
1067,Hamed Afagh Eslamieh,M,25,188,82
1068,Brian O'Neill Afanador Prez,M,19,175,68
1069,Nikolay Konstantinovich Afanasyev,M,30,187,80
1070,Valery Yevgenyevich Afanasyev,M,23,175,79
1071,Kseniya Dmitriyevna Afanasyeva,F,16,158,48
1072,Yelena Aleksandrovna Afanasyeva (Vlasova-),F,30,164,56
1073,Mustapha Afandi,M,26,175,74
1074,Khairulnizam Mohd Afendy,M,19,182,70
1075,Abel Aferalign,M,20,169,54
1076,Jammal-ud-Din Affendi,M,28,NA,NA
1077,Xavier Affentranger,M,26,NA,NA
1078,Franois Jacques Affolter,M,21,186,74
1079,Konrad Affolter,M,26,187,87
1080,Ahmed Afghan,M,18,180,82
1081,Alessia Afi Dipol,F,18,168,58
1082,Ahmed Afifi,M,28,194,92
1083,Gharib Afifi,M,NA,NA,NA
1084,Shimaa Afifi,F,19,163,54
1085,Maksim Sergeyevich Afinogenov,M,22,183,88
1086,Madjid Aflaki Khamesh,M,27,184,77
1087,Evelina Afoa,F,17,162,60
1088,"Olabisi ""Bisi"" Afolabi",F,20,180,62
1089,Vladimir Afonin,M,24,189,67
1090,Inha Mykolavna Afonina,F,22,NA,NA
1091,Nuno Miguel Figueiredo Afonso,M,21,190,85
1092,Paixo Afonso,M,25,176,80
1093,Marina Anatolyevna Aframeyeva,F,25,171,62
1094,Felicia Afrsiloaie (-Jitianu),F,22,178,70
1095,Cecil Sebastian Afrika,M,28,175,75
1096,Hannah Afriyie,F,20,165,52
1097,Georgios Afroudakis,M,19,194,103
1098,Khristos Afroudakis,M,20,188,88
1099,Mehrdad Afsharian Tarshiz,M,37,172,69
1100,Ibrahim Afsharpour,M,21,NA,NA
1101,Mohammad Anwar Afzal,M,NA,NA,NA
1102,Muhammad Afzal,M,25,169,78
1103,Muhammad Afzal,M,21,184,69
1104,Muhammad Afzal Manna,M,25,173,76
1105,Mirza Najib Aga,M,19,NA,NA
1106,Karim El-Husseini Aga Khan,M,27,NA,NA
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104
1108,Drago Agache,M,28,175,75
1109,Lavinia Agache (-Carney),F,16,148,40
1110,Aleksandr Agafonov,M,21,190,86
1111,Alisa Agafonova,F,23,171,NA
1112,Alphonsine Agahozo,F,16,160,50
1113,Victor Okechukwu Agali,M,21,193,82
1114,Luca Agamennoni,M,24,187,93
1115,Marina Aganina,F,20,158,51
1116,Eldijana Dana Aganovi (-Bentsen),F,24,173,59
1117,Gennady Mikhaylovich Agapov,M,30,181,76
1118,Francilla Agar (-Schofield),F,25,170,55
1119,Mark Sidney Andrew Agar,M,27,NA,NA
1120,"Steven Kirwan ""Steve"" Agar",M,28,182,72
1121,Arturo Ernesto Agard,M,31,195,96
1122,Andre Kirk Agassi,M,26,180,80
1123,Arthure Agathine,M,19,180,72
1124,Krikor Agathon,M,23,NA,NA
1125,Rstm Aayev,M,22,186,96
1126,Vilayt Aayev,M,24,168,62
1127,Giancarlo Agazzi,M,23,178,73
1128,Gladstone Agbamu,M,27,179,74
1129,Leopold Agbazo,M,27,159,54
1130,Ajayi Agbebaku,M,29,185,80
1131,Clarisse Agbegnenou,F,23,164,66
1132,Agberto Correa de Matos,M,24,193,97
1133,Sonya Agbssi,F,19,167,66
1134,Komi-Mawussi Agbetoglo,M,18,NA,NA
1135,Francis Agbo,M,22,184,66
1136,"Jos V. Agdamag, Jr.",M,39,163,61
1137,"William Ashby ""Bill"" Agee",M,22,NA,NA
1138,Iwao Ageishi,M,24,166,72
1139,Craig John Agena,M,23,170,66
1140,Ronald Jean-Martin Agnor,M,23,180,79
1141,Franco Agentho,M,22,NA,60
1142,Wendy Caroline Ager-Grant,F,23,163,55
1143,Jesper Agergrd Jensen,M,25,180,69
1144,Henrik Agersborg,M,47,NA,NA
1145,Maia Kristiane Agerup,F,21,172,NA
1146,Ragna Agerup,F,21,168,NA
1147,Viktor Ivanovich Ageyev,M,20,184,80
1148,Krishnan Kumar Aggarwal,M,21,167,55
1149,Neha Aggarwal,F,18,170,67
1150,Sven Ingvar Agge,M,34,NA,NA
1151,Harald Agger,M,19,NA,NA
1152,Khoudir Aggoune,M,23,175,66
1153,Edward Jeff Aggrey-Fynn,M,29,180,74
1154,Adalbert Agh,M,26,186,90
